Nr obwodu,Kandydat,Liczba głosów
86,LEWANDOWSKI Tomasz Jacek,80
86,PUCEK Jarosław,87
86,ZYSK Tadeusz,178
87,BONK-HAMMERMEISTER Dorota Magdalena,10
87,BRATKOWSKI Wojciech,15
87,HINC Przemysław Jakub,16
87,JAŚKOWIAK Jacek,272
87,LEWANDOWSKI Tomasz Jacek,52
87,PUCEK Jarosław,49
87,ZYSK Tadeusz,152
88,BONK-HAMMERMEISTER Dorota Magdalena,27
88,BRATKOWSKI Wojciech,16
88,HINC Przemysław Jakub,27
88,JAŚKOWIAK Jacek,544
88,LEWANDOWSKI Tomasz Jacek,73
88,PUCEK Jarosław,86
88,ZYSK Tadeusz,332
89,BONK-HAMMERMEISTER Dorota Magdalena,20
89,BRATKOWSKI Wojciech,9
89,HINC Przemysław Jakub,22
89,JAŚKOWIAK Jacek,391
89,LEWANDOWSKI Tomasz Jacek,66
89,PUCEK Jarosław,61
89,ZYSK Tadeusz,181
90,BONK-HAMMERMEISTER Dorota Magdalena,48
90,BRATKOWSKI Wojciech,14
90,HINC Przemysław Jakub,43
90,JAŚKOWIAK Jacek,605
90,LEWANDOWSKI Tomasz Jacek,65
90,PUCEK Jarosław,79
90,ZYSK Tadeusz,285
91,BONK-HAMMERMEISTER Dorota Magdalena,43
91,BRATKOWSKI Wojciech,17
91,HINC Przemysław Jakub,23
91,JAŚKOWIAK Jacek,472
91,LEWANDOWSKI Tomasz Jacek,92
91,PUCEK Jarosław,113
91,ZYSK Tadeusz,210
92,BONK-HAMMERMEISTER Dorota Magdalena,42
92,BRATKOWSKI Wojciech,28
92,HINC Przemysław Jakub,27
92,JAŚKOWIAK Jacek,654
92,LEWANDOWSKI Tomasz Jacek,74
92,PUCEK Jarosław,97
92,ZYSK Tadeusz,325
93,BONK-HAMMERMEISTER Dorota Magdalena,32
93,BRATKOWSKI Wojciech,20
93,HINC Przemysław Jakub,34
93,JAŚKOWIAK Jacek,677
93,LEWANDOWSKI Tomasz Jacek,68
93,PUCEK Jarosław,102
93,ZYSK Tadeusz,303
94,BONK-HAMMERMEISTER Dorota Magdalena,60
94,BRATKOWSKI Wojciech,13
94,HINC Przemysław Jakub,34
94,JAŚKOWIAK Jacek,565
94,LEWANDOWSKI Tomasz Jacek,67
94,PUCEK Jarosław,131
94,ZYSK Tadeusz,212
95,BONK-HAMMERMEISTER Dorota Magdalena,21
95,BRATKOWSKI Wojciech,21
95,HINC Przemysław Jakub,23
95,JAŚKOWIAK Jacek,611
95,LEWANDOWSKI Tomasz Jacek,103
95,PUCEK Jarosław,66
95,ZYSK Tadeusz,233
96,BONK-HAMMERMEISTER Dorota Magdalena,30
96,BRATKOWSKI Wojciech,20
96,HINC Przemysław Jakub,29
96,JAŚKOWIAK Jacek,825
96,LEWANDOWSKI Tomasz Jacek,111
96,PUCEK Jarosław,94
96,ZYSK Tadeusz,270
97,BONK-HAMMERMEISTER Dorota Magdalena,35
97,BRATKOWSKI Wojciech,18
97,HINC Przemysław Jakub,25
97,JAŚKOWIAK Jacek,719
97,LEWANDOWSKI Tomasz Jacek,147
97,PUCEK Jarosław,75
97,ZYSK Tadeusz,279
98,BONK-HAMMERMEISTER Dorota Magdalena,30
98,BRATKOWSKI Wojciech,23
98,HINC Przemysław Jakub,28
98,JAŚKOWIAK Jacek,775
98,LEWANDOWSKI Tomasz Jacek,125
98,PUCEK Jarosław,111
98,ZYSK Tadeusz,285
99,BONK-HAMMERMEISTER Dorota Magdalena,27
99,BRATKOWSKI Wojciech,13
99,HINC Przemysław Jakub,26
99,JAŚKOWIAK Jacek,517
99,LEWANDOWSKI Tomasz Jacek,65
99,PUCEK Jarosław,47
99,ZYSK Tadeusz,255
100,BONK-HAMMERMEISTER Dorota Magdalena,31
100,BRATKOWSKI Wojciech,18
100,HINC Przemysław Jakub,25
100,JAŚKOWIAK Jacek,800
100,LEWANDOWSKI Tomasz Jacek,123
100,PUCEK Jarosław,96
100,ZYSK Tadeusz,285
101,BONK-HAMMERMEISTER Dorota Magdalena,26
101,BRATKOWSKI Wojciech,19
101,HINC Przemysław Jakub,30
101,JAŚKOWIAK Jacek,687
101,LEWANDOWSKI Tomasz Jacek,132
101,PUCEK Jarosław,80
101,ZYSK Tadeusz,332
102,BONK-HAMMERMEISTER Dorota Magdalena,36
102,BRATKOWSKI Wojciech,19
102,HINC Przemysław Jakub,31
102,JAŚKOWIAK Jacek,737
102,LEWANDOWSKI Tomasz Jacek,119
102,PUCEK Jarosław,96
102,ZYSK Tadeusz,299
103,BONK-HAMMERMEISTER Dorota Magdalena,26
103,BRATKOWSKI Wojciech,9
103,HINC Przemysław Jakub,22
103,JAŚKOWIAK Jacek,694
103,LEWANDOWSKI Tomasz Jacek,100
103,PUCEK Jarosław,80
103,ZYSK Tadeusz,287
104,BONK-HAMMERMEISTER Dorota Magdalena,28
104,BRATKOWSKI Wojciech,18
104,HINC Przemysław Jakub,31
104,JAŚKOWIAK Jacek,559
104,LEWANDOWSKI Tomasz Jacek,75
104,PUCEK Jarosław,89
104,ZYSK Tadeusz,289
105,BONK-HAMMERMEISTER Dorota Magdalena,32
105,BRATKOWSKI Wojciech,27
105,HINC Przemysław Jakub,35
105,JAŚKOWIAK Jacek,617
105,LEWANDOWSKI Tomasz Jacek,90
105,PUCEK Jarosław,96
105,ZYSK Tadeusz,267
106,BONK-HAMMERMEISTER Dorota Magdalena,25
106,BRATKOWSKI Wojciech,28
106,HINC Przemysław Jakub,36
106,JAŚKOWIAK Jacek,600
106,LEWANDOWSKI Tomasz Jacek,78
106,PUCEK Jarosław,112
106,ZYSK Tadeusz,289
107,BONK-HAMMERMEISTER Dorota Magdalena,45
107,BRATKOWSKI Wojciech,17
107,HINC Przemysław Jakub,24
107,JAŚKOWIAK Jacek,719
107,LEWANDOWSKI Tomasz Jacek,67
107,PUCEK Jarosław,68
107,ZYSK Tadeusz,155
108,BONK-HAMMERMEISTER Dorota Magdalena,37
108,BRATKOWSKI Wojciech,16
108,HINC Przemysław Jakub,27
108,JAŚKOWIAK Jacek,677
108,LEWANDOWSKI Tomasz Jacek,87
108,PUCEK Jarosław,57
108,ZYSK Tadeusz,175
109,BONK-HAMMERMEISTER Dorota Magdalena,35
109,BRATKOWSKI Wojciech,19
109,HINC Przemysław Jakub,25
109,JAŚKOWIAK Jacek,598
109,LEWANDOWSKI Tomasz Jacek,105
109,PUCEK Jarosław,83
109,ZYSK Tadeusz,279
110,BONK-HAMMERMEISTER Dorota Magdalena,26
110,BRATKOWSKI Wojciech,9
110,HINC Przemysław Jakub,15
110,JAŚKOWIAK Jacek,547
110,LEWANDOWSKI Tomasz Jacek,90
110,PUCEK Jarosław,83
110,ZYSK Tadeusz,258
111,BONK-HAMMERMEISTER Dorota Magdalena,32
111,BRATKOWSKI Wojciech,11
111,HINC Przemysław Jakub,17
111,JAŚKOWIAK Jacek,642
111,LEWANDOWSKI Tomasz Jacek,98
111,PUCEK Jarosław,82
111,ZYSK Tadeusz,266
112,BONK-HAMMERMEISTER Dorota Magdalena,26
112,BRATKOWSKI Wojciech,20
112,HINC Przemysław Jakub,26
112,JAŚKOWIAK Jacek,591
112,LEWANDOWSKI Tomasz Jacek,95
112,PUCEK Jarosław,67
112,ZYSK Tadeusz,253
113,BONK-HAMMERMEISTER Dorota Magdalena,31
113,BRATKOWSKI Wojciech,20
113,HINC Przemysław Jakub,17
113,JAŚKOWIAK Jacek,686
113,LEWANDOWSKI Tomasz Jacek,95
113,PUCEK Jarosław,72
113,ZYSK Tadeusz,251
114,BONK-HAMMERMEISTER Dorota Magdalena,33
114,BRATKOWSKI Wojciech,23
114,HINC Przemysław Jakub,22
114,JAŚKOWIAK Jacek,603
114,LEWANDOWSKI Tomasz Jacek,85
114,PUCEK Jarosław,102
114,ZYSK Tadeusz,265
115,BONK-HAMMERMEISTER Dorota Magdalena,32
115,BRATKOWSKI Wojciech,19
115,HINC Przemysław Jakub,27
115,JAŚKOWIAK Jacek,597
115,LEWANDOWSKI Tomasz Jacek,104
115,PUCEK Jarosław,71
115,ZYSK Tadeusz,272
116,BONK-HAMMERMEISTER Dorota Magdalena,47
116,BRATKOWSKI Wojciech,16
116,HINC Przemysław Jakub,24
116,JAŚKOWIAK Jacek,626
116,LEWANDOWSKI Tomasz Jacek,123
116,PUCEK Jarosław,93
116,ZYSK Tadeusz,294
117,BONK-HAMMERMEISTER Dorota Magdalena,36
117,BRATKOWSKI Wojciech,17
117,HINC Przemysław Jakub,16
117,JAŚKOWIAK Jacek,632
117,LEWANDOWSKI Tomasz Jacek,106
117,PUCEK Jarosław,75
117,ZYSK Tadeusz,338
118,BONK-HAMMERMEISTER Dorota Magdalena,33
118,BRATKOWSKI Wojciech,15
118,HINC Przemysław Jakub,33
118,JAŚKOWIAK Jacek,636
118,LEWANDOWSKI Tomasz Jacek,115
118,PUCEK Jarosław,104
118,ZYSK Tadeusz,296
119,BONK-HAMMERMEISTER Dorota Magdalena,22
119,BRATKOWSKI Wojciech,14
119,HINC Przemysław Jakub,30
119,JAŚKOWIAK Jacek,656
119,LEWANDOWSKI Tomasz Jacek,103
119,PUCEK Jarosław,77
119,ZYSK Tadeusz,328
120,BONK-HAMMERMEISTER Dorota Magdalena,38
120,BRATKOWSKI Wojciech,23
120,HINC Przemysław Jakub,36
120,JAŚKOWIAK Jacek,695
120,LEWANDOWSKI Tomasz Jacek,101
120,PUCEK Jarosław,97
120,ZYSK Tadeusz,248
121,BONK-HAMMERMEISTER Dorota Magdalena,43
121,BRATKOWSKI Wojciech,15
121,HINC Przemysław Jakub,18
121,JAŚKOWIAK Jacek,665
121,LEWANDOWSKI Tomasz Jacek,98
121,PUCEK Jarosław,74
121,ZYSK Tadeusz,288
122,BONK-HAMMERMEISTER Dorota Magdalena,39
122,BRATKOWSKI Wojciech,17
122,HINC Przemysław Jakub,19
122,JAŚKOWIAK Jacek,657
122,LEWANDOWSKI Tomasz Jacek,107
122,PUCEK Jarosław,91
122,ZYSK Tadeusz,253
123,BONK-HAMMERMEISTER Dorota Magdalena,27
123,BRATKOWSKI Wojciech,22
123,HINC Przemysław Jakub,28
123,JAŚKOWIAK Jacek,698
123,LEWANDOWSKI Tomasz Jacek,92
123,PUCEK Jarosław,85
123,ZYSK Tadeusz,254
124,BONK-HAMMERMEISTER Dorota Magdalena,26
124,BRATKOWSKI Wojciech,17
124,HINC Przemysław Jakub,35
124,JAŚKOWIAK Jacek,639
124,LEWANDOWSKI Tomasz Jacek,112
124,PUCEK Jarosław,74
124,ZYSK Tadeusz,260
125,BONK-HAMMERMEISTER Dorota Magdalena,35
125,BRATKOWSKI Wojciech,15
125,HINC Przemysław Jakub,15
125,JAŚKOWIAK Jacek,699
125,LEWANDOWSKI Tomasz Jacek,132
125,PUCEK Jarosław,82
125,ZYSK Tadeusz,263
126,BONK-HAMMERMEISTER Dorota Magdalena,31
126,BRATKOWSKI Wojciech,16
126,HINC Przemysław Jakub,26
126,JAŚKOWIAK Jacek,618
126,LEWANDOWSKI Tomasz Jacek,95
126,PUCEK Jarosław,96
126,ZYSK Tadeusz,240
127,BONK-HAMMERMEISTER Dorota Magdalena,29
127,BRATKOWSKI Wojciech,26
127,HINC Przemysław Jakub,24
127,JAŚKOWIAK Jacek,632
127,LEWANDOWSKI Tomasz Jacek,91
127,PUCEK Jarosław,77
127,ZYSK Tadeusz,250
128,BONK-HAMMERMEISTER Dorota Magdalena,26
128,BRATKOWSKI Wojciech,17
128,HINC Przemysław Jakub,23
128,JAŚKOWIAK Jacek,447
128,LEWANDOWSKI Tomasz Jacek,72
128,PUCEK Jarosław,94
128,ZYSK Tadeusz,240
129,BONK-HAMMERMEISTER Dorota Magdalena,23
129,BRATKOWSKI Wojciech,15
129,HINC Przemysław Jakub,20
129,JAŚKOWIAK Jacek,409
129,LEWANDOWSKI Tomasz Jacek,95
129,PUCEK Jarosław,64
129,ZYSK Tadeusz,113
130,BONK-HAMMERMEISTER Dorota Magdalena,32
130,BRATKOWSKI Wojciech,10
130,HINC Przemysław Jakub,35
130,JAŚKOWIAK Jacek,512
130,LEWANDOWSKI Tomasz Jacek,130
130,PUCEK Jarosław,74
130,ZYSK Tadeusz,161
131,BONK-HAMMERMEISTER Dorota Magdalena,32
131,BRATKOWSKI Wojciech,19
131,HINC Przemysław Jakub,40
131,JAŚKOWIAK Jacek,357
131,LEWANDOWSKI Tomasz Jacek,131
131,PUCEK Jarosław,87
131,ZYSK Tadeusz,289
132,BONK-HAMMERMEISTER Dorota Magdalena,34
132,BRATKOWSKI Wojciech,18
132,HINC Przemysław Jakub,23
132,JAŚKOWIAK Jacek,552
132,LEWANDOWSKI Tomasz Jacek,215
132,PUCEK Jarosław,114
132,ZYSK Tadeusz,296
133,BONK-HAMMERMEISTER Dorota Magdalena,44
133,BRATKOWSKI Wojciech,8
133,HINC Przemysław Jakub,24
133,JAŚKOWIAK Jacek,448
133,LEWANDOWSKI Tomasz Jacek,120
133,PUCEK Jarosław,79
133,ZYSK Tadeusz,226
134,BONK-HAMMERMEISTER Dorota Magdalena,28
134,BRATKOWSKI Wojciech,20
134,HINC Przemysław Jakub,32
134,JAŚKOWIAK Jacek,495
134,LEWANDOWSKI Tomasz Jacek,129
134,PUCEK Jarosław,94
134,ZYSK Tadeusz,264
135,BONK-HAMMERMEISTER Dorota Magdalena,41
135,BRATKOWSKI Wojciech,17
135,HINC Przemysław Jakub,33
135,JAŚKOWIAK Jacek,571
135,LEWANDOWSKI Tomasz Jacek,92
135,PUCEK Jarosław,114
135,ZYSK Tadeusz,273
136,BONK-HAMMERMEISTER Dorota Magdalena,49
136,BRATKOWSKI Wojciech,21
136,HINC Przemysław Jakub,13
136,JAŚKOWIAK Jacek,581
136,LEWANDOWSKI Tomasz Jacek,102
136,PUCEK Jarosław,76
136,ZYSK Tadeusz,230
137,BONK-HAMMERMEISTER Dorota Magdalena,46
137,BRATKOWSKI Wojciech,12
137,HINC Przemysław Jakub,26
137,JAŚKOWIAK Jacek,554
137,LEWANDOWSKI Tomasz Jacek,71
137,PUCEK Jarosław,106
137,ZYSK Tadeusz,220
138,BONK-HAMMERMEISTER Dorota Magdalena,31
138,BRATKOWSKI Wojciech,17
138,HINC Przemysław Jakub,29
138,JAŚKOWIAK Jacek,513
138,LEWANDOWSKI Tomasz Jacek,59
138,PUCEK Jarosław,125
138,ZYSK Tadeusz,232
139,BONK-HAMMERMEISTER Dorota Magdalena,64
139,BRATKOWSKI Wojciech,13
139,HINC Przemysław Jakub,24
139,JAŚKOWIAK Jacek,602
139,LEWANDOWSKI Tomasz Jacek,71
139,PUCEK Jarosław,111
139,ZYSK Tadeusz,234
140,BONK-HAMMERMEISTER Dorota Magdalena,45
140,BRATKOWSKI Wojciech,12
140,HINC Przemysław Jakub,16
140,JAŚKOWIAK Jacek,312
140,LEWANDOWSKI Tomasz Jacek,42
140,PUCEK Jarosław,70
140,ZYSK Tadeusz,184
141,BONK-HAMMERMEISTER Dorota Magdalena,50
141,BRATKOWSKI Wojciech,14
141,HINC Przemysław Jakub,18
141,JAŚKOWIAK Jacek,400
141,LEWANDOWSKI Tomasz Jacek,52
141,PUCEK Jarosław,64
141,ZYSK Tadeusz,199
142,BONK-HAMMERMEISTER Dorota Magdalena,68
142,BRATKOWSKI Wojciech,18
142,HINC Przemysław Jakub,32
142,JAŚKOWIAK Jacek,544
142,LEWANDOWSKI Tomasz Jacek,67
142,PUCEK Jarosław,83
142,ZYSK Tadeusz,230
143,BONK-HAMMERMEISTER Dorota Magdalena,57
143,BRATKOWSKI Wojciech,9
143,HINC Przemysław Jakub,41
143,JAŚKOWIAK Jacek,566
143,LEWANDOWSKI Tomasz Jacek,52
143,PUCEK Jarosław,84
143,ZYSK Tadeusz,268
144,BONK-HAMMERMEISTER Dorota Magdalena,63
144,BRATKOWSKI Wojciech,8
144,HINC Przemysław Jakub,26
144,JAŚKOWIAK Jacek,402
144,LEWANDOWSKI Tomasz Jacek,43
144,PUCEK Jarosław,58
144,ZYSK Tadeusz,212
145,BONK-HAMMERMEISTER Dorota Magdalena,37
145,BRATKOWSKI Wojciech,10
145,HINC Przemysław Jakub,16
145,JAŚKOWIAK Jacek,424
145,LEWANDOWSKI Tomasz Jacek,32
145,PUCEK Jarosław,54
145,ZYSK Tadeusz,219
146,BONK-HAMMERMEISTER Dorota Magdalena,74
146,BRATKOWSKI Wojciech,19
146,HINC Przemysław Jakub,21
146,JAŚKOWIAK Jacek,520
146,LEWANDOWSKI Tomasz Jacek,48
146,PUCEK Jarosław,72
146,ZYSK Tadeusz,254
147,BONK-HAMMERMEISTER Dorota Magdalena,23
147,BRATKOWSKI Wojciech,12
147,HINC Przemysław Jakub,15
147,JAŚKOWIAK Jacek,500
147,LEWANDOWSKI Tomasz Jacek,45
147,PUCEK Jarosław,35
147,ZYSK Tadeusz,165
148,BONK-HAMMERMEISTER Dorota Magdalena,31
148,BRATKOWSKI Wojciech,16
148,HINC Przemysław Jakub,7
148,JAŚKOWIAK Jacek,476
148,LEWANDOWSKI Tomasz Jacek,59
148,PUCEK Jarosław,68
148,ZYSK Tadeusz,164
149,BONK-HAMMERMEISTER Dorota Magdalena,30
149,BRATKOWSKI Wojciech,17
149,HINC Przemysław Jakub,25
149,JAŚKOWIAK Jacek,697
149,LEWANDOWSKI Tomasz Jacek,48
149,PUCEK Jarosław,51
149,ZYSK Tadeusz,256
150,BONK-HAMMERMEISTER Dorota Magdalena,30
150,BRATKOWSKI Wojciech,11
150,HINC Przemysław Jakub,19
150,JAŚKOWIAK Jacek,443
150,LEWANDOWSKI Tomasz Jacek,53
150,PUCEK Jarosław,66
150,ZYSK Tadeusz,201
151,BONK-HAMMERMEISTER Dorota Magdalena,26
151,BRATKOWSKI Wojciech,13
151,HINC Przemysław Jakub,6
151,JAŚKOWIAK Jacek,396
151,LEWANDOWSKI Tomasz Jacek,49
151,PUCEK Jarosław,52
151,ZYSK Tadeusz,165
152,BONK-HAMMERMEISTER Dorota Magdalena,30
152,BRATKOWSKI Wojciech,17
152,HINC Przemysław Jakub,26
152,JAŚKOWIAK Jacek,618
152,LEWANDOWSKI Tomasz Jacek,97
152,PUCEK Jarosław,74
152,ZYSK Tadeusz,197
153,BONK-HAMMERMEISTER Dorota Magdalena,25
153,BRATKOWSKI Wojciech,13
153,HINC Przemysław Jakub,27
153,JAŚKOWIAK Jacek,426
153,LEWANDOWSKI Tomasz Jacek,53
153,PUCEK Jarosław,120
153,ZYSK Tadeusz,232
154,BONK-HAMMERMEISTER Dorota Magdalena,16
154,BRATKOWSKI Wojciech,9
154,HINC Przemysław Jakub,20
154,JAŚKOWIAK Jacek,423
154,LEWANDOWSKI Tomasz Jacek,72
154,PUCEK Jarosław,49
154,ZYSK Tadeusz,191
155,BONK-HAMMERMEISTER Dorota Magdalena,23
155,BRATKOWSKI Wojciech,17
155,HINC Przemysław Jakub,19
155,JAŚKOWIAK Jacek,514
155,LEWANDOWSKI Tomasz Jacek,82
155,PUCEK Jarosław,80
155,ZYSK Tadeusz,224
156,BONK-HAMMERMEISTER Dorota Magdalena,25
156,BRATKOWSKI Wojciech,10
156,HINC Przemysław Jakub,22
156,JAŚKOWIAK Jacek,449
156,LEWANDOWSKI Tomasz Jacek,75
156,PUCEK Jarosław,53
156,ZYSK Tadeusz,164
157,BONK-HAMMERMEISTER Dorota Magdalena,19
157,BRATKOWSKI Wojciech,14
157,HINC Przemysław Jakub,18
157,JAŚKOWIAK Jacek,498
157,LEWANDOWSKI Tomasz Jacek,90
157,PUCEK Jarosław,81
157,ZYSK Tadeusz,215
158,BONK-HAMMERMEISTER Dorota Magdalena,29
158,BRATKOWSKI Wojciech,26
158,HINC Przemysław Jakub,19
158,JAŚKOWIAK Jacek,564
158,LEWANDOWSKI Tomasz Jacek,55
158,PUCEK Jarosław,82
158,ZYSK Tadeusz,208
159,BONK-HAMMERMEISTER Dorota Magdalena,22
159,BRATKOWSKI Wojciech,20
159,HINC Przemysław Jakub,7
159,JAŚKOWIAK Jacek,520
159,LEWANDOWSKI Tomasz Jacek,72
159,PUCEK Jarosław,47
159,ZYSK Tadeusz,209
160,BONK-HAMMERMEISTER Dorota Magdalena,48
160,BRATKOWSKI Wojciech,23
160,HINC Przemysław Jakub,34
160,JAŚKOWIAK Jacek,821
160,LEWANDOWSKI Tomasz Jacek,79
160,PUCEK Jarosław,93
160,ZYSK Tadeusz,259
161,BONK-HAMMERMEISTER Dorota Magdalena,35
161,BRATKOWSKI Wojciech,19
161,HINC Przemysław Jakub,24
161,JAŚKOWIAK Jacek,630
161,LEWANDOWSKI Tomasz Jacek,61
161,PUCEK Jarosław,78
161,ZYSK Tadeusz,220
162,BONK-HAMMERMEISTER Dorota Magdalena,35
162,BRATKOWSKI Wojciech,28
162,HINC Przemysław Jakub,26
162,JAŚKOWIAK Jacek,579
162,LEWANDOWSKI Tomasz Jacek,60
162,PUCEK Jarosław,76
162,ZYSK Tadeusz,250
163,BONK-HAMMERMEISTER Dorota Magdalena,46
163,BRATKOWSKI Wojciech,13
163,HINC Przemysław Jakub,20
163,JAŚKOWIAK Jacek,676
163,LEWANDOWSKI Tomasz Jacek,82
163,PUCEK Jarosław,66
163,ZYSK Tadeusz,202
164,BONK-HAMMERMEISTER Dorota Magdalena,26
164,BRATKOWSKI Wojciech,12
164,HINC Przemysław Jakub,20
164,JAŚKOWIAK Jacek,541
164,LEWANDOWSKI Tomasz Jacek,52
164,PUCEK Jarosław,74
164,ZYSK Tadeusz,180
165,BONK-HAMMERMEISTER Dorota Magdalena,25
165,BRATKOWSKI Wojciech,6
165,HINC Przemysław Jakub,21
165,JAŚKOWIAK Jacek,618
165,LEWANDOWSKI Tomasz Jacek,80
165,PUCEK Jarosław,85
165,ZYSK Tadeusz,191
166,BONK-HAMMERMEISTER Dorota Magdalena,27
166,BRATKOWSKI Wojciech,12
166,HINC Przemysław Jakub,18
166,JAŚKOWIAK Jacek,609
166,LEWANDOWSKI Tomasz Jacek,78
166,PUCEK Jarosław,63
166,ZYSK Tadeusz,230
167,BONK-HAMMERMEISTER Dorota Magdalena,36
167,BRATKOWSKI Wojciech,16
167,HINC Przemysław Jakub,24
167,JAŚKOWIAK Jacek,668
167,LEWANDOWSKI Tomasz Jacek,91
167,PUCEK Jarosław,90
167,ZYSK Tadeusz,252
168,BONK-HAMMERMEISTER Dorota Magdalena,33
168,BRATKOWSKI Wojciech,18
168,HINC Przemysław Jakub,21
168,JAŚKOWIAK Jacek,600
168,LEWANDOWSKI Tomasz Jacek,87
168,PUCEK Jarosław,78
168,ZYSK Tadeusz,260
169,BONK-HAMMERMEISTER Dorota Magdalena,28
169,BRATKOWSKI Wojciech,23
